ORF ID,Name,Description,Number of TA Sites,Number of Permissive (P) Sites,Number of Non-Permissive (NP) Sites,Number of Sites Belonging to Essential State,Number of Sites Belonging to Growth-Defect State,Number of Sites Belonging to Non-Essential State,Number of Sites Belonging to Growth-Advantage State,Fraction of Sites with Insertions,Mean Normalized Read-Count At Non-Zero Sites,Final Call
Rv3558,PPE64,PPE family protein PPE64,18,15,3,0,0,18,0,0.888888889,141.3125,NE
Rv3559c,-,Probable oxidoreductase,8,7,1,0,0,8,0,0.875,51.71428571,NE
Rv3560c,fadE30,Probable acyl-CoA dehydrogenase FadE30,13,13,0,0,0,13,0,1,87,NE
Rv3561,fadD3,Probable fatty-acid-CoA ligase FadD3 (fatty-acid-CoA synthetase) (fatty-acid-CoA synthase),15,15,0,0,0,15,0,1,70.13333333,NE
Rv3562,fadE31,Probable acyl-CoA dehydrogenase FadE31,12,11,1,0,0,12,0,0.5,22.33333333,NE
Rv3563,fadE32,Probable acyl-CoA dehydrogenase FadE32,11,11,0,0,0,11,0,1,41.36363636,NE
Rv3564,fadE33,Probable acyl-CoA dehydrogenase FadE33,11,10,1,0,0,11,0,0.727272727,70.5,NE
Rv3565,aspB,Possible aspartate aminotransferase AspB (transaminase A) (ASPAT) (glutamic--oxaloacetic transaminase) (glutamic--aspartic transaminase),19,16,3,0,0,19,0,0.736842105,19.92857143,NE
Rv3566c,nat,Arylamine N-acetyltransferase Nat (arylamine acetylase),16,14,2,0,0,16,0,0.9375,46.33333333,NE
Rv3566A,-,Hypothetical protein,3,3,0,0,0,3,0,0.666666667,73,Uncertain
Rv3567c,hsaB,"Possible oxidoreductase Possible 3-hydroxy-9,10-seconandrost-1,3,5(10)-triene-9,17-dione hydroxylase",9,8,1,0,0,9,0,0.888888889,63.375,NE
Rv3568c,hsaC,"3,4-DHSA dioxygenase",16,14,2,0,0,16,0,0.875,35.07142857,NE
Rv3569c,hsaD,"4,9-DHSA hydrolase",14,13,1,0,0,14,0,1,48.85714286,NE
Rv3570c,hsaA,"Possible oxidoreductase Possible 3-hydroxy-9,10-seconandrost-1,3,5(10)-triene-9,17-dione hydroxylase",19,19,0,0,0,19,0,0.894736842,60.88235294,NE
Rv3571,kshB,Reductase component of 3-ketosteroid-9-alpha-hydroxylase KshB,13,12,1,0,0,13,0,0.923076923,98.5,NE
Rv3572,-,hypothetical protein,9,9,0,0,0,9,0,1,92.11111111,NE
Rv3573c,fadE34,Probable acyl-CoA dehydrogenase FadE34,24,16,8,0,0,24,0,0.875,63.28571429,NE
Rv3574,kstR,Transcriptional regulatory protein KstR (probably TetR-family),14,12,2,0,0,14,0,0.928571429,31.84615385,NE
Rv3575c,-,Transcriptional regulatory protein (probably LacI-family),19,18,1,0,0,19,0,0.947368421,93.11111111,NE
Rv3576,lppH,Possible conserved lipoprotein LppH,14,11,3,0,0,14,0,0.857142857,100.6666667,NE
Rv3577,-,hypothetical protein,14,12,2,0,0,14,0,0.857142857,30.75,NE
Rv3578,arsB2,Possible arsenical pump integral membrane protein ArsB2,16,16,0,0,0,16,0,1,137.875,NE
Rv3579c,-,Possible tRNA/rRNA methyltransferase,12,12,0,12,0,0,0,0,0,ES
Rv3580c,cysS1,Cysteinyl-tRNA synthetase 1 CysS1 (cysteine--tRNA ligase 1) (CYSRS 1) (cysteine translase),28,25,3,28,0,0,0,0,0,ES
Rv3581c,ispF,"Probable 2C-methyl-D-erythritol 2,4-cyclodiphosphate synthase IspF (MECPS)",6,4,2,5,0,0,1,0.333333333,5,ES
Rv3582c,ispD,4-diphosphocytidyl-2C-methyl-D-erythritol synthase IspD (MEP cytidylyltransferase) (MCT),13,13,0,13,0,0,0,0,0,ES
Rv3583c,-,Possible transcription factor,8,8,0,0,8,0,0,0.125,13,GD
Rv3584,lpqE,Possible conserved lipoprotein LpqE,7,7,0,0,0,7,0,1,172.7142857,NE
Rv3585,radA,DNA repair protein RadA (DNA repair protein SMS),22,18,4,0,0,22,0,0.863636364,220.4210526,NE
Rv3586,-,hypothetical protein,15,11,4,0,0,15,0,0.8,90,NE
Rv3587c,-,Probable conserved membrane protein,15,14,1,13,0,2,0,0.133333333,78.5,ES
Rv3588c,canB,Beta-carbonic anhydrase CanB,8,6,2,0,0,8,0,0.75,112.5,NE
Rv3589,mutY,Probable adenine glycosylase MutY,16,12,4,0,0,16,0,0.9375,141.4666667,NE
Rv3590c,PE_PGRS58,PE-PGRS family protein PE_PGRS58,22,18,4,0,0,22,0,0.863636364,33.78947368,NE
Rv3591c,-,Possible hydrolase,16,16,0,0,0,16,0,1,42.6875,NE
Rv3592,mhuD,Possible heme degrading protein MhuD,3,3,0,0,0,3,0,1,169,NE
Rv3593,lpqF,Probable conserved lipoprotein LpqF,20,18,2,0,0,20,0,0.9,57.83333333,NE
Rv3594,-,hypothetical protein,16,15,1,0,0,16,0,0.9375,111.9333333,NE
Rv3595c,PE_PGRS59,PE-PGRS family protein PE_PGRS59,15,12,3,0,0,15,0,0.933333333,84.78571429,NE
Rv3596c,clpC1,Probable ATP-dependent protease ATP-binding subunit ClpC1,30,24,6,29,0,1,0,0.033333333,1,ES
Rv3597c,lsr2,Iron-regulated H-NS-like protein Lsr2,5,5,0,0,5,0,0,0.2,2,GD
Rv3598c,lysS,Lysyl-tRNA synthetase 1 LysS (lysine--tRNA ligase 1) (LysRS 1) (lysine translase),31,27,4,31,0,0,0,0,0,ES
Rv3599c,-,Hypothetical short protein,2,1,1,0,0,2,0,0.5,361,Uncertain
Rv3600c,-,hypothetical protein,13,11,2,0,0,13,0,1,73,NE
Rv3601c,panD,Probable aspartate 1-decarboxylase precursor PanD (aspartate alpha-decarboxylase),10,8,2,8,0,2,0,0.2,4,ES
Rv3602c,panC,Pantoate--beta-alanine ligase PanC (pantothenate synthetase) (pantoate activating enzyme),13,10,3,13,0,0,0,0,0,ES
Rv3603c,-,Conserved hypothetical alanine and leucine rich protein,13,12,1,3,0,10,0,0.461538462,21.33333333,ESD
Rv3604c,-,Probable conserved transmembrane protein rich in alanine and arginine and proline,15,13,2,0,14,1,0,0.466666667,9.571428571,GD
Rv3605c,-,Probable conserved secreted protein,7,6,1,0,0,7,0,1,145.7142857,NE
Rv3606c,folK,"2-amino-4-hydroxy-6- hydroxymethyldihydropteridinepyrophosphokinase FolK (7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase) (HPPK) (6-hydroxymethyl-7,8-dihydropterin pyrophosphokinase) (PPPK) (2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase) (7,8-dihydro-6-hydroxymethylpterin-diphosphokinase) (6-hydroxymethyl-7,8-dihydropterin diphosphokinase)",8,8,0,0,6,2,0,0.375,62.66666667,GD
Rv3607c,folB,Probable dihydroneopterin aldolase FolB (DHNA),7,7,0,0,7,0,0,0.285714286,22,GD
Rv3608c,folP1,Dihydropteroate synthase 1 FolP (DHPS 1) (dihydropteroate pyrophosphorylase 1) (dihydropteroate diphosphorylase 1),9,7,2,7,2,0,0,0.222222222,4,ESD
Rv3609c,folE,GTP cyclohydrolase I FolE (GTP-ch-I),12,12,0,12,0,0,0,0,0,ES
Rv3610c,ftsH,Membrane-bound protease FtsH (cell division protein),34,31,3,0,0,34,0,0.647058824,48.27272727,NE
Rv3611,-,Hypothetical arginine and proline rich protein,2,2,0,0,0,2,0,1,104.5,NE
Rv3612c,-,hypothetical protein,4,4,0,0,0,4,0,1,111.25,NE
Rv3613c,-,Hypothetical protein,1,1,0,0,0,1,0,1,175,Uncertain
Rv3614c,espD,ESX-1 secretion-associated protein EspD,8,7,1,0,0,8,0,1,194.125,NE
Rv3615c,espC,ESX-1 secretion-associated protein EspC,11,10,1,0,0,11,0,1,289.6363636,NE
Rv3616c,espA,"ESX-1 secretion-associated protein A, EspA",19,17,2,0,0,19,0,1,181.1052632,NE
Rv3617,ephA,Probable epoxide hydrolase EphA (epoxide hydratase) (arene-oxide hydratase),19,19,0,0,0,19,0,1,176.4736842,NE
Rv3618,-,Possible monooxygenase,22,20,2,0,0,22,0,1,102.2727273,NE
Rv3619c,esxV,Putative ESAT-6 like protein EsxV (ESAT-6 like protein 1),5,5,0,0,0,5,0,1,168.6,NE
Rv3620c,esxW,Putative ESAT-6 like protein EsxW (ESAT-6 like protein 10),4,4,0,0,0,4,0,1,191.5,NE
Rv3621c,PPE65,PPE family protein PPE65,14,12,2,0,0,14,0,0.928571429,185.7692308,NE
Rv3622c,PE32,PE family protein PE32,5,5,0,0,0,5,0,1,202,NE
Rv3623,lpqG,Probable conserved lipoprotein LpqG,7,6,1,0,0,7,0,0.857142857,110.8333333,NE
Rv3624c,hpt,Hypoxanthine-guanine phosphoribosyltransferase Hpt (HGPRT) (HGPRTase) (hypoxanthine phosphoribosyltransferase) (imp pyrophosphorylase) (imp diphosphorylase) (transphosphoribosyltransferase) (guanine phosphoribosyltransferase),12,11,1,10,0,2,0,0.166666667,82,ES
Rv3625c,mesJ,Possible cell cycle protein MesJ,9,8,1,8,0,1,0,0.111111111,1,ES
Rv3626c,-,hypothetical protein,12,11,1,0,0,12,0,1,97.41666667,NE
Rv3627c,-,hypothetical protein,14,13,1,0,14,0,0,0.5,2.285714286,GD
Rv3628,ppa,Inorganic pyrophosphatase Ppa (pyrophosphate phospho-hydrolase) (PPASE) (inorganic diphosphatase) (diphosphate phospho-hydrolase),10,10,0,9,0,1,0,0.1,98,ES
Rv3629c,-,Probable conserved integral membrane protein,17,16,1,0,0,17,0,1,219.1176471,NE
Rv3630,-,Probable conserved integral membrane protein,25,22,3,0,0,25,0,1,83.24,NE
Rv3631,-,Possible transferase (possibly glycosyltransferase),6,5,1,0,0,6,0,0.833333333,132.4,NE
Rv3632,-,Possible conserved membrane protein,8,8,0,0,0,8,0,1,270.5,NE
Rv3633,-,hypothetical protein,18,17,1,0,0,18,0,0.944444444,103,NE
Rv3634c,galE1,UDP-glucose 4-epimerase GalE1 (galactowaldenase) (UDP-galactose 4-epimerase) (uridine diphosphate galactose 4-epimerase) (uridine diphospho-galactose 4-epimerase),20,19,1,20,0,0,0,0,0,ES
Rv3635,-,Probable conserved transmembrane protein,26,24,2,0,26,0,0,0.230769231,5.5,GD
Rv3636,-,Possible transposase,6,6,0,0,0,6,0,1,117.6666667,NE
Rv3637,-,Possible transposase,5,4,1,0,0,5,0,0.8,127.75,NE
Rv3638,-,Possible transposase,13,12,1,0,0,13,0,1,105.6153846,NE
Rv3639c,-,hypothetical protein,9,8,1,0,0,9,0,0.888888889,119.375,NE
Rv3640c,-,Probable transposase,18,17,1,0,0,18,0,0.944444444,83.82352941,NE
Rv3641c,fic,Possible cell filamentation protein Fic,10,10,0,0,0,10,0,1,196.3,NE
Rv3642c,-,Hypothetical protein,3,3,0,0,0,3,0,1,85,NE
Rv3643,-,Hypothetical protein,8,8,0,0,0,8,0,1,75.75,NE
Rv3644c,-,Possible DNA polymerase,17,15,2,15,0,2,0,0.117647059,2.5,ES
Rv3645,-,Probable conserved transmembrane protein,26,23,3,23,0,3,0,0.230769231,16.66666667,ES
Rv3646c,topA,DNA topoisomerase I TopA (omega-protein) (relaxing enzyme) (untwisting enzyme) (swivelase) (type I DNA topoisomerase) (nicking-closing enzyme) (TOPO I),53,50,3,49,0,4,0,0.056603774,21,ES
Rv3647c,-,hypothetical protein,10,8,2,0,0,10,0,0.8,94.625,NE
Rv3648c,cspA,Probable cold shock protein A CspA,4,4,0,0,0,4,0,0,0,NE
Rv3649,-,Probable helicase,33,29,4,0,0,33,0,0.818181818,51.44444444,NE
Rv3650,PE33,PE family protein PE33,4,3,1,0,0,4,0,1,23.75,NE
Rv3651,-,hypothetical protein,14,14,0,0,0,14,0,0.928571429,40.69230769,NE
Rv3652,PE_PGRS60,PE-PGRS family-related protein PE_PGRS60,6,5,1,0,0,6,0,0.833333333,255,NE
Rv3653,PE_PGRS61,PE-PGRS family-related protein PE_PGRS61,6,5,1,0,0,6,0,1,29.5,NE
Rv3654c,-,hypothetical protein,1,0,1,0,0,1,0,0,0,Uncertain
Rv3655c,-,hypothetical protein,7,7,0,0,0,7,0,0.857142857,87.83333333,NE
Rv3656c,-,hypothetical protein,6,6,0,0,0,6,0,1,79,NE
Rv3657c,-,Possible conserved alanine rich membrane protein,8,7,1,0,0,8,0,1,30.125,NE
Rv3658c,-,Probable conserved transmembrane protein,10,7,3,0,0,10,0,0.7,60.42857143,NE
Rv3659c,-,hypothetical protein,6,6,0,0,0,6,0,1,107.3333333,NE
Rv3660c,-,hypothetical protein,9,7,2,0,0,9,0,0.888888889,73.5,NE
Rv3661,-,hypothetical protein,17,16,1,0,0,17,0,1,117.1764706,NE
Rv3662c,-,hypothetical protein,4,4,0,0,0,4,0,1,4.25,NE
Rv3663c,dppD,Probable dipeptide-transport ATP-binding protein ABC transporter DppD,25,21,4,0,0,25,0,0.92,36.26086957,NE
Rv3664c,dppC,Probable dipeptide-transport integral membrane protein ABC transporter DppC,14,13,1,0,0,14,0,0.928571429,20.69230769,NE
Rv3665c,dppB,Probable dipeptide-transport integral membrane protein ABC transporter DppB,17,16,1,0,0,17,0,0.823529412,43.28571429,NE
Rv3666c,dppA,Probable periplasmic dipeptide-binding lipoprotein DppA,23,21,2,0,0,23,0,0.826086957,21.52631579,NE
Rv3667,acs,Acetyl-coenzyme A synthetase Acs (acetate--CoA ligase) (acetyl-CoA synthetase) (acetyl-CoA synthase) (acyl-activating enzyme) (acetate thiokinase) (acetyl-activating enzyme) (acetate--coenzyme A ligase) (acetyl-coenzyme A synthase),40,38,2,0,0,40,0,0.95,124.2631579,NE
Rv3668c,-,Possible protease,9,8,1,0,0,9,0,0.888888889,127.25,NE
Rv3669,-,Probable conserved transmembrane protein,5,5,0,0,0,5,0,0.4,146,NE
Rv3670,ephE,Possible epoxide hydrolase EphE (epoxide hydratase) (arene-oxide hydratase),16,16,0,0,0,16,0,0.875,24.57142857,NE
Rv3671c,-,Membrane-associated serine protease,15,12,3,0,0,15,0,0.933333333,28.14285714,NE
Rv3672c,-,hypothetical protein,10,8,2,0,0,10,0,1,65.5,NE
Rv3673c,-,Possible membrane-anchored thioredoxin-like protein (thiol-disulfide interchange related protein),7,4,3,0,0,7,0,0.285714286,1,NE
Rv3674c,nth,Probable endonuclease III Nth (DNA-(apurinic or apyrimidinic site)lyase) (AP lyase) (AP endonuclease class I) (endodeoxyribonuclease (apurinic or apyrimidinic)) (deoxyribonuclease (apurinic or apyrimidinic)),12,9,3,0,0,12,0,0.916666667,126.9090909,NE
Rv3675,-,Possible membrane protein,7,6,1,0,0,7,0,1,245.4285714,NE
Rv3676,crp,Transcriptional regulatory protein Crp (Crp/Fnr-family),3,3,0,0,0,3,0,0.666666667,84,Uncertain
Rv3677c,-,Possible hydrolase,12,10,2,0,0,12,0,0.916666667,86.63636364,NE
Rv3678c,-,hypothetical protein,9,6,3,0,0,9,0,1,100.4444444,NE
Rv3678A,-,hypothetical protein,3,3,0,0,0,3,0,1,184.3333333,NE
Rv3679,-,Probable anion transporter ATPase,15,13,2,0,0,15,0,0.866666667,34.38461538,NE
Rv3680,-,Probable anion transporter ATPase,20,17,3,0,0,20,0,0.75,29.06666667,NE
Rv3681c,whiB4,Probable transcriptional regulatory protein WhiB-like WhiB4,8,6,2,0,0,8,0,1,124,NE
Rv3682,ponA2,Probable bifunctional membrane-associated penicillin-binding protein 1A/1B PonA2 (murein polymerase) [includes: penicillin-insensitive transglycosylase (peptidoglycan TGASE) + penicillin-sensitive transpeptidase (DD-transpeptidase)],38,37,1,0,0,1,37,1,333.5263158,GA
Rv3683,-,hypothetical protein,11,11,0,0,0,11,0,1,118.7272727,NE
Rv3684,-,Probable lyase,18,16,2,0,0,18,0,0.888888889,96.25,NE
Rv3685c,cyp137,Probable cytochrome P450 137 Cyp137,20,18,2,0,0,20,0,0.95,167.8947368,NE
Rv3686c,-,hypothetical protein,7,5,2,0,0,7,0,0.857142857,273.5,NE
Rv3687c,rsfB,Anti-anti-sigma factor RsfB (anti-sigma factor antagonist) (regulator of sigma F B),6,4,2,0,0,6,0,0.833333333,27.6,NE
Rv3688c,-,hypothetical protein,8,8,0,0,0,8,0,1,334.75,NE
Rv3689,-,Probable conserved transmembrane protein,34,29,5,0,0,34,0,0.911764706,191.3548387,NE
Rv3690,-,Probable conserved membrane protein,11,11,0,0,0,11,0,1,40.27272727,NE
Rv3691,-,hypothetical protein,15,15,0,0,0,15,0,1,61.13333333,NE
Rv3692,moxR2,Probable methanol dehydrogenase transcriptional regulatory protein MoxR2,16,15,1,0,0,16,0,0.9375,99.86666667,NE
Rv3693,-,Possible conserved membrane protein,17,15,2,0,0,17,0,0.823529412,42.07142857,NE
Rv3694c,-,Possible conserved transmembrane protein,15,13,2,0,0,15,0,0.866666667,142.0769231,NE
Rv3695,-,Possible conserved membrane protein,11,9,2,0,0,11,0,1,108.7272727,NE
Rv3696c,glpK,Probable glycerol kinase GlpK (ATP:glycerol 3-phosphotransferase) (glycerokinase) (GK),30,29,1,0,0,30,0,0.966666667,24.31034483,NE
Rv3697c,vapC48,Possible toxin VapC48 Contains PIN domain,9,9,0,0,0,9,0,1,252.7777778,NE
Rv3697A,vapB48,Possible antitoxin VapB48,4,4,0,0,0,4,0,1,135,NE
Rv3698,-,hypothetical protein,36,34,2,0,0,36,0,0.972222222,81.14285714,NE
Rv3699,-,hypothetical protein,13,13,0,0,0,13,0,1,118.5384615,NE
Rv3700c,-,hypothetical protein,14,12,2,0,0,14,0,1,54.42857143,NE
Rv3701c,-,hypothetical protein,15,12,3,0,0,15,0,0.733333333,19.27272727,NE
Rv3702c,-,hypothetical protein,8,8,0,0,0,8,0,1,50.875,NE
Rv3703c,-,hypothetical protein,18,17,1,0,0,18,0,1,104.1666667,NE
Rv3704c,gshA,Glutamate--cysteine ligase GshA (gamma-glutamylcysteine synthetase) (gamma-ECS) (GCS) (gamma-glutamyl-L-cysteine synthetase),14,10,4,0,0,14,0,0.928571429,166.8461538,NE
Rv3705c,-,hypothetical protein,9,9,0,0,0,9,0,1,142.2222222,NE
Rv3705A,-,Conserved hypothetical proline rich protein,5,5,0,0,0,5,0,1,155,NE
Rv3706c,-,Conserved hypothetical proline rich protein,4,3,1,0,0,4,0,1,161.75,NE
Rv3707c,-,hypothetical protein,16,15,1,0,0,16,0,0.9375,198,NE
Rv3708c,asd,Aspartate-semialdehyde dehydrogenase Asd (ASA dehydrogenase) (ASADH) (aspartic semialdehyde dehydrogenase) (L-aspartate-beta-semialdehyde dehydrogenase),10,7,3,0,10,0,0,0,0,GD
Rv3709c,ask,Aspartokinase Ask (aspartate kinase) [contains: aspartokinase alpha subunit (Ask-alpha); and aspartokinase beta subunit (Ask-beta)],15,15,0,10,5,0,0,0.133333333,6,ESD
Rv3710,leuA,2-isopropylmalate synthase LeuA (alpha-isopropylmalate synthase) (alpha-IPM synthetase) (IPMS),32,28,4,29,0,3,0,0.125,73.75,ES
Rv3711c,dnaQ,Probable DNA polymerase III (epsilon subunit) DnaQ,15,14,1,0,0,15,0,0.933333333,128.5,NE
Rv3712,-,Possible ligase,11,10,1,11,0,0,0,0,0,ES
Rv3713,cobQ2,Possible cobyric acid synthase CobQ2,11,9,2,9,0,2,0,0.272727273,65.33333333,ES
Rv3714c,-,hypothetical protein,13,12,1,0,0,13,0,1,268.5384615,NE
Rv3715c,recR,Probable recombination protein RecR,4,4,0,0,0,4,0,1,67.75,NE
Rv3716c,-,hypothetical protein,4,4,0,0,0,4,0,1,47.75,NE
Rv3717,-,hypothetical protein,13,11,2,0,0,13,0,0.923076923,79.91666667,NE
Rv3718c,-,hypothetical protein,5,5,0,0,0,5,0,1,60,NE
Rv3719,-,hypothetical protein,39,34,5,0,0,39,0,0.897435897,108.2285714,NE
Rv3720,-,Possible fatty acid synthase,33,31,2,0,0,33,0,1,118.030303,NE
Rv3721c,dnaZX,DNA polymerase III (subunit gamma/tau) DnaZ/X,27,25,2,25,0,2,0,0.074074074,13.5,ES
Rv3722c,-,hypothetical protein,31,28,3,28,0,3,0,0.161290323,31.4,ES
Rv3723,-,Probable conserved transmembrane protein,10,10,0,0,0,10,0,1,181.7,NE
Rv3724A,cut5a,Probable cutinase precursor [first part] Cut5a,4,4,0,0,0,4,0,1,97.75,NE
Rv3724B,cut5b,Probable cutinase [second part] Cut5b,19,17,2,0,0,19,0,0.894736842,124.7647059,NE
Rv3725,-,Possible oxidoreductase,14,14,0,0,0,5,9,1,327.3571429,GA
Rv3726,-,Possible dehydrogenase,16,15,1,0,0,0,16,0.9375,98,GA
Rv3727,-,Possible oxidoreductase,39,37,2,0,0,14,25,0.974358974,208.2631579,GA
Rv3728,-,Probable conserved two-domain membrane protein,32,30,2,0,0,32,0,0.96875,184.8064516,NE
Rv3729,-,Possible transferase,29,25,4,0,0,29,0,0.965517241,173.9642857,NE
Rv3730c,-,hypothetical protein,22,19,3,0,0,22,0,0.954545455,156.5714286,NE
Rv3731,ligC,Possible ATP-dependent DNA ligase LigC (polydeoxyribonucleotide synthase [ATP]) (polynucleotide ligase [ATP]) (sealase) (DNA repair protein) (DNA joinase),19,17,2,0,0,19,0,1,203.3684211,NE
Rv3732,-,hypothetical protein,17,15,2,0,0,17,0,0.941176471,170.3125,NE
Rv3733c,-,hypothetical protein,4,3,1,0,0,4,0,1,255.75,NE
Rv3734c,tgs2,Putative triacylglycerol synthase (diacylglycerol acyltransferase) Tgs2,19,19,0,0,0,19,0,1,231.9473684,NE
Rv3735,-,hypothetical protein,6,6,0,0,0,6,0,1,173.3333333,NE
Rv3736,-,Transcriptional regulatory protein (probably AraC/XylS-family),23,23,0,0,0,23,0,1,178.3043478,NE
Rv3737,-,Probable conserved transmembrane protein,18,13,5,0,0,18,0,0.944444444,97.41176471,NE
Rv3738c,PPE66,PPE family protein PPE66,20,18,2,0,0,8,12,1,240.25,GA
Rv3739c,PPE67,PPE family protein PPE67,8,8,0,0,4,0,4,0.75,323.8333333,GD
Rv3740c,-,Possible triacylglycerol synthase (diacylglycerol acyltransferase),20,20,0,0,0,0,20,1,215.85,GA
Rv3741c,-,Possible oxidoreductase,9,7,2,0,0,0,9,1,126.4444444,GA
Rv3742c,-,Possible oxidoreductase,6,4,2,0,0,0,6,1,364.5,GA
Rv3743c,ctpJ,Probable cation transporter P-type ATPase CtpJ,31,28,3,0,0,31,0,1,129.0967742,NE
Rv3744,nmtR,Metal sensor transcriptional regulator (ArsR-SmtB family),8,7,1,0,0,8,0,1,165.125,NE
Rv3745c,-,hypothetical protein,2,2,0,0,0,2,0,1,168.5,Uncertain
Rv3746c,PE34,Probable PE family protein PE34 (PE family-related protein),6,5,1,0,0,6,0,1,150.8333333,NE
Rv3747,-,hypothetical protein,7,5,2,0,0,7,0,1,179,NE
Rv3748,-,hypothetical protein,6,6,0,0,0,6,0,1,139.1666667,NE
Rv3749c,-,hypothetical protein,13,13,0,0,0,13,0,1,269.0769231,NE
Rv3750c,-,Possible excisionase,6,6,0,0,0,6,0,1,279.6666667,NE
Rv3751,-,Probable integrase (fragment),1,1,0,0,0,1,0,1,423,Uncertain
Rv3752c,-,Possible cytidine/deoxycytidylate deaminase,2,2,0,0,0,2,0,0,0,ES
Rv3753c,-,hypothetical protein,5,5,0,0,0,5,0,0.4,6.5,NE
Rv3754,tyrA,Prephenate dehydrogenase TyrA (PDH) (hydroxyphenylpyruvate synthase),14,11,3,12,0,2,0,0.142857143,37,ES
Rv3755c,-,hypothetical protein,13,12,1,1,0,12,0,0.846153846,147.2727273,NE
Rv3756c,proZ,Possible osmoprotectant (glycine betaine/carnitine/choline/L-proline) transport integral membrane protein ABC transporter ProZ,17,15,2,0,0,17,0,1,86.64705882,NE
Rv3757c,proW,Possible osmoprotectant (glycine betaine/carnitine/choline/L-proline) transport integral membrane protein ABC transporter ProW,13,12,1,0,0,13,0,0.923076923,79.33333333,NE
Rv3758c,proV,Possible osmoprotectant (glycine betaine/carnitine/choline/L-proline) transport ATP-binding protein ABC transporter ProV,17,13,4,0,0,17,0,0.823529412,113.9285714,NE
Rv3759c,proX,Possible osmoprotectant (glycine betaine/carnitine/choline/L-proline) binding lipoprotein ProX,14,12,2,0,0,14,0,0.928571429,76.46153846,NE
Rv3760,-,Possible conserved membrane protein,6,6,0,0,0,6,0,1,66.33333333,NE
Rv3761c,fadE36,Possible acyl-CoA dehydrogenase FadE36,17,17,0,0,0,17,0,1,115,NE
Rv3762c,-,Possible hydrolase,30,28,2,0,0,30,0,1,126.5333333,NE
Rv3763,lpqH,19 kDa lipoprotein antigen precursor LpqH,9,5,4,0,0,9,0,1,78.77777778,NE
Rv3764c,tcrY,Possible two component sensor kinase TcrY,17,16,1,0,0,17,0,0.823529412,20.14285714,NE
Rv3765c,tcrX,Probable two component transcriptional regulatory protein TcrX,14,14,0,0,0,14,0,1,155.7857143,NE
Rv3766,-,Hypothetical protein,16,15,1,0,0,16,0,1,74.0625,NE
Rv3767c,-,Possible S-adenosylmethionine-dependent methyltransferase,16,14,2,0,0,16,0,0.875,96.14285714,NE
Rv3768,-,hypothetical protein,12,11,1,0,0,12,0,0.916666667,110.2727273,NE
Rv3769,-,Hypothetical protein,1,1,0,0,0,1,0,1,10,Uncertain
Rv3770c,-,Hypothetical leucine rich protein,9,8,1,0,0,9,0,1,231.3333333,NE
Rv3770A,-,Probable remnant of a transposase,3,3,0,0,0,3,0,1,76.66666667,NE
Rv3770B,-,Probable remnant of a transposase,4,4,0,0,0,4,0,1,104.5,NE
Rv3771c,-,hypothetical protein,2,1,1,0,0,2,0,1,24.5,NE
Rv3772,hisC2,Probable histidinol-phosphate aminotransferase HisC2 (imidazole acetol-phosphate transaminase) (imidazolylacetolphosphate aminotransferase),18,15,3,0,0,18,0,0.888888889,151,NE
Rv3773c,-,hypothetical protein,9,9,0,0,0,9,0,1,186.7777778,NE
Rv3774,echA21,Possible enoyl-CoA hydratase EchA21 (enoyl hydrase) (unsaturated acyl-CoA hydratase) (crotonase),14,14,0,0,0,14,0,1,153.6428571,NE
Rv3775,lipE,Probable lipase LipE,24,24,0,0,0,24,0,0.958333333,162.6956522,NE
Rv3776,-,hypothetical protein,24,23,1,0,0,24,0,0.916666667,154.8181818,NE
Rv3777,-,Probable oxidoreductase,16,15,1,0,0,16,0,0.9375,94.2,NE
Rv3778c,-,Possible aminotransferase,17,17,0,0,17,0,0,0.411764706,1.285714286,GD
Rv3779,-,Probable conserved transmembrane protein alanine and leucine rich,48,45,3,0,0,24,24,0.979166667,203.4255319,NE
Rv3780,-,hypothetical protein,9,8,1,8,0,0,1,0.333333333,26,ES
Rv3781,rfbE,Probable O-antigen/lipopolysaccharide transport ATP-binding protein ABC transporter RfbE,14,14,0,14,0,0,0,0.071428571,1,ES
Rv3782,glfT1,UDP-galactofuranosyl transferase GlfT1,18,16,2,18,0,0,0,0.055555556,1,ES
Rv3783,rfbD,Probable O-antigen/lipopolysaccharide transport integral membrane protein ABC transporter RfbD,12,10,2,10,0,1,1,0.25,100.6666667,ES
Rv3784,-,"Possible dTDP-glucose 4,6-dehydratase",29,28,1,0,0,0,29,0.965517241,355.4285714,GA
Rv3785,-,Hypothetical protein,14,12,2,0,0,0,14,1,181.7857143,GA
Rv3786c,-,hypothetical protein,24,23,1,0,0,0,24,1,173.5,GA
Rv3787c,-,hypothetical protein,10,9,1,0,0,0,10,1,154.8,GA
Rv3788,-,Hypothetical protein,7,6,1,0,0,0,7,1,380.1428571,GA
